background,background-(def-all-nosource)
hw-trunk-case-gr,highway-trunk-case-(wnt-all-osm)
hw-motorway-case,highway-motorway-case-(def-all-osm)
hw-motorway-case-hc,highway-motorway-case-(def-all-osm-hc)
hw-motorway-case-wnt,highway-motorway-case-(wnt-all-osm)
hw-motorway-link-line,highway-motorway_link-line-(def-all-osm)
hw-motorway-link-line-hc,highway-motorway_link-line-(def-all-osm-hc)
hw-link-line,highway-trunk_primary_secondary_tertiary_link-line-(def-all-osm)
hw-link-line-hc,highway-trunk_primary_secondary_tertiary_link-line-(def-all-osm-hc)
hw-link-line-gr,highway-trunk_primary_secondary_tertiary_link-line-(gr-all-osm)
hw-driveway-line,highway-driveway-line-(def-all-osm)
hw-driveway-line-wnt,highway-driveway-line-(wnt-all-osm)
hw-driveway-line-hc,highway-driveway-line-(def-all-osm-hc)
hw-driveway-line-gr,highway-driveway-line-(gr-all-osm)
hw-service-line,highway-service-line-(def-all-osm)
hw-service-line-wnt,highway-service-line-(wnt-all-osm)
hw-service-line-gr,highway-service-line-(gr-all-osm)
hw-minor-line,highway-minor-line-(def-all-osm)
hw-minor-line-wnt,highway-minor-line-(wnt-all-osm)
hw-minor-line-gr,highway-minor-line-(gr-all-osm)
hw-raceway-line,highway-raceway-line-(def-all-osm)
hw-secondary-tertiary-line,highway-secondary_tertiary-line-(def-all-osm)
hw-secondary-tertiary-line-hc,highway-secondary_tertiary-line-(def-all-osm-hc)
hw-tertiary-line-gr,highway-tertiary-line-(gr-all-osm)
hw-secondary-line-gr,highway-secondary-line-(gr-all-osm)
hw-primary-line,highway-primary-line-(def-all-osm)
hw-primary-line-hc,highway-primary-line-(def-all-osm-hc)
hw-primary-line-wnt,highway-primary-line-(wnt-all-osm)
hw-primary-line-gr,highway-primary-line-(gr-all-osm)
hw-trunk-line,highway-trunk-line-(def-all-osm)
hw-trunk-line-hc,highway-trunk-line-(def-all-osm-hc)
hw-trunk-line-wnt,highway-trunk-line-(wnt-all-osm)
hw-trunk-line-gr,highway-trunk-line-(gr-all-osm)
hw-motorway-line,highway-motorway-line-(def-all-osm)
hw-motorway-line-hc,highway-motorway-line-(def-all-osm-hc)
hw-motorway-line-wnt,highway-motorway-line-(wnt-all-osm)
sw-cycleway-left-line-paved,sidewalk-cycleway-line_left_paved-(def-all-osm)
sw-cycleway-left-line-paved-hc,sidewalk-cycleway-line_left_paved-(def-all-osm-hc)
